"idencuesta","ola","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
1107072,1,1454.78401526665,0.353876652125016,NA,NA
1107082,1,785.011750259977,0.190954345899849,NA,NA
1107083,1,727.392007633327,0.176938326062508,NA,NA
2101021,1,1583.84223035879,0.385270102016383,NA,NA
2101032,1,887.008158205259,0.215765003010236,NA,NA
2101033,1,1364.2385922655,0.33185145056888,2890.24422650222,0.313215179064792
2101041,1,759.6910902035,0.184795087675707,NA,NA
2101042,1,421.499723566455,0.102529935359495,NA,NA
2101043,1,405.976748021142,0.0987539668587778,1056.6363816817,0.114507469804837
2101052,1,682.119296132749,0.16592572528444,NA,NA
2101053,1,468.301059654451,0.113914374531218,NA,NA
2101062,1,1774.01631641052,0.431530006020473,6141.47927407114,0.66555085999734
2101071,1,421.499723566455,0.102529935359495,837.436660017757,0.0907528405446608
2101072,1,1153.49872169288,0.280588913254138,4122.90503977426,0.446798380724673
2101073,1,829.914764836802,0.201877017789294,NA,NA
2101081,1,768.999147795253,0.187059275502759,NA,NA
2101082,1,829.914764836803,0.201877017789294,2665.93949427167,0.28890732084767
2101083,1,1922.49786948813,0.467648188756897,6871.50839962377,0.744663967874455
2101092,1,1023.17894419912,0.24888858792666,2167.68316987667,0.234911384298594
2101093,1,913.447683047569,0.22219642543225,NA,NA
2101102,1,842.99944713291,0.20505987071899,1674.87332003551,0.181505681089322
2101104,1,909.492394843665,0.221234300379253,NA,NA
2101111,1,829.914764836803,0.201877017789294,NA,NA
2101112,1,1055.89482023919,0.256846734677588,NA,NA
