"idencuesta","ola","muestra","segmento_disenno","estrato_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_modelob","pd_atricion_trm","pd_nr_trm","pd_modelob_trm","ponderadorlong_total","ponderadorlong_modelob","ponderadorlong_nr","ponderadorlong_panel"
5109114,6,1,510911,2,"Hombre","60 o más",1,2936.65795898438,4894.4296875,4872.30419856065,4872.30419856065,4872.30419856065,4894.4296875,4872.30419856065,2.26729551585993,2.26660393117827,2.71960465031226,2.53495002006375
5109115,6,1,510911,2,"Mujer","60 o más",1,1468.32897949219,2447.21484375,1959.4613313196,1959.4613313196,1959.4613313196,2447.21484375,1959.4613313196,0.541503497496364,0.541330399583744,0.712114789494716,0.484833328712326
5109121,6,1,510912,2,"Mujer","60 o más",2,1468.32885742188,1468.32885742188,2180.94912859789,2180.94912859789,2180.94912859789,1468.32885742188,2180.94912859789,0.602712369017289,0.602519704974546,0.427268859488339,NA
5109124,6,1,510912,2,"Hombre","50 a 59",1,2202.4931640625,2202.4931640625,3571.46313084854,3571.46313084854,3571.46313084854,2202.4931640625,3571.46313084854,1.55331340883398,1.55253442691085,1.08932981784586,1.7199083112915
5109125,6,1,510912,2,"Mujer","50 a 59",1,2202.4931640625,2202.4931640625,3498.97045847863,3498.97045847862,3498.97045847863,2202.4931640625,3498.97045847862,0.903741094472443,0.903274647059527,0.570471060075994,0.801346166022631
5109151,6,1,510915,2,"Mujer","60 o más",1,564.741882324219,847.11279296875,869.272642098325,869.272642098325,869.272642098325,847.11279296875,869.272642098325,0.240226315493119,0.240149524347798,0.246501262357024,0.21508582072567
5109153,6,1,510915,2,"Mujer","40 a 49",1,2258.96752929688,3388.451171875,3806.03607116395,3806.03607116395,3806.03607116395,3388.451171875,3806.03607116395,1.18971329019574,1.18899360599331,1.21508315561967,1.24468685035548
5109178,6,1,510917,2,"Mujer","18 a 29",1,734.164489746094,1468.32897949219,1412.57745853294,1412.57745853294,1412.57745853294,1468.32897949219,1412.57745853294,1.23987243734219,1.23874816986773,1.47211423901016,1.43621308488076
5109196,6,1,510919,2,"Hombre","40 a 49",2,98.5997085571289,295.799133300781,214.907242839734,214.907242839734,214.907242839734,295.799133300781,214.907242839734,0.113117456359141,0.11305068412502,0.202547757734636,NA
5109203,6,1,510920,2,"Mujer","50 a 59",1,2936.65747070312,3915.54345703125,4988.98625031434,4988.98625031434,4988.98625031434,3915.54345703125,4988.98625031434,1.28859387287525,1.28792879160144,1.01417078752071,1.14259467219604
5109205,6,1,510920,2,"Mujer","60 o más",1,2202.4931640625,2936.65771484375,3599.41099160439,3599.41099160439,3599.41099160439,2936.65771484375,3599.41099160439,0.994708907865009,0.994390937553807,0.854537718976678,0.890609263152973
5109206,6,1,510920,2,"Mujer","50 a 59",2,3670.82202148438,4894.4296875,6228.64376177214,6228.64376177214,6228.64376177214,4894.4296875,6228.64376177214,1.60878218239958,1.607951842503,1.26771357925373,NA
5109225,6,1,510922,2,"Mujer","40 a 49",2,1468.32897949219,2447.21484375,2347.70585480072,2347.70585480072,2347.70585480072,2447.21484375,2347.70585480072,0.733859796571128,0.733415868351835,0.877560095746527,NA
5109227,6,1,510922,2,"Hombre","50 a 59",1,734.164489746094,1223.607421875,1346.30315463321,1346.30315463321,1346.30315463321,1223.607421875,1346.30315463321,0.585538941837092,0.585245295848856,0.605183285802974,0.648338762108814
